name:ID(User)
-
DESKTOP-2I19OQ1\test
NT AUTHORITY\LOCAL SERVICE
NT AUTHORITY\NETWORK SERVICE
NT AUTHORITY\SYSTEM
WIN-22UGE7OLB2T\Administrator
WIN-HQF5EGPNH54\Administrator
WIN-JQPCJUH0S05\Administrator
WIN-KH0QS2E5QMD\Administrator
WIN-PPN4G981MCR\emps
WIN-Q5K8V1QHISE\windows
WORKGROUP\DESKTOP-2I19OQ1$
WORKGROUP\WIN-HQF5EGPNH54$
WORKGROUP\WIN-KH0QS2E5QMD$
