:START_ID(Process),:END_ID(File)
08846768-6d9d-68ce-4316-000000000c00,C:\Users\test\AppData\Local\Temp\ifig3umw\ifig3umw.dll
08846768-6d9d-68ce-4916-000000000c00,C:\Users\test\AppData\Local\Temp\15znx5on\15znx5on.dll
08846768-6d9d-68ce-4d16-000000000c00,C:\Users\test\AppData\Local\Temp\itmulx1t\itmulx1t.dll
08846768-6d9d-68ce-4f16-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_0dktg1qu.a41.ps1
08846768-6d9e-68ce-6016-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_fwxz4tuo.z2f.ps1
08846768-6d9f-68ce-6416-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_teuq20za.dwv.ps1
08846768-7160-68ce-a91a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_2l0xnpoj.ycd.ps1
08846768-7160-68ce-ab1a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_lwohltrl.aqp.ps1
08846768-7160-68ce-ad1a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_edngb5fm.ed1.ps1
08846768-7160-68ce-af1a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_y1tmvjfa.eo1.ps1
08846768-7160-68ce-b11a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_t5vrcvhp.55i.ps1
08846768-7160-68ce-b31a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_fh0hx3mz.0d0.ps1
08846768-7160-68ce-b51a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_1wpyi0pp.uxa.ps1
08846768-7160-68ce-b71a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_ros0otn0.4jl.ps1
08846768-7161-68ce-b91a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_3ob5j05d.nch.ps1
